regime,count,mean_return,volatility,VaR_95,CVaR_95,VaR_99,CVaR_99,max_drawdown
0,2452,0.0006042705318308023,0.005774662083518165,-0.00938285372295355,-0.01293827303872183,-0.01596638663346614,-0.017457299343601258,-0.08640168894940312
1,2071,0.0003920172067678248,0.010702556585195082,-0.018986124597281044,-0.024822617747260016,-0.02878125710879813,-0.03182359845932,-0.3141773459027881
2,698,-0.0007735338511318332,0.025364423693785325,-0.042723962355591776,-0.06072898429189471,-0.06976770243860486,-0.0951789664281112,-0.6290306917360484
