regime,count,mean_return,volatility,VaR_95,CVaR_95,VaR_99,CVaR_99,max_drawdown
0,3312,0.0010771720880699805,0.005409599874038784,-0.008046959638859116,-0.010165076384535846,-0.011630094869065693,-0.01286896123161848,-0.05526646206449738
1,1674,-0.0006405795869804165,0.014099828884964687,-0.024066394497642425,-0.02915387958644763,-0.03237821036596328,-0.03536165439907334,-0.7122973475409571
2,235,-0.003155963301733127,0.03769680592989066,-0.06100960366687153,-0.08269671811437253,-0.09430119978058622,-0.10743072491984197,-0.6350567630498183
