regime,count,mean_return,volatility,VaR_95,CVaR_95,VaR_99,CVaR_99,max_drawdown
0,4179,0.00066819541327152,0.006309431671161598,-0.010367680501029935,-0.013345945142863653,-0.015182478072579804,-0.016798077773128087,-0.1847624808810899
1,562,0.01682804385429866,0.013902642912663,0.0005963663105617661,-0.0008853391972688027,-0.0018469224337341339,-0.002209480978195685,-0.002564344442560215
2,480,-0.021866951931254697,0.014706762364402841,-0.048283237078699456,-0.06775199514627077,-0.08194682440993989,-0.10160365774865424,-0.9999763012001731
